insured_name,cedent_name,country,currency,exposure,total_ceded_by_cedent,ceded_to_reinsurer,retained_by_cedant,policy_inception_date,policy_expiry_date,exclusion_status,exclusion_reason
AIR FRANCE-KLM,ZURICH,UK,GBP,88383419.8,51646895.5,49218971.7,36736524.3,2024-07-22,2026-07-22,excluded,Cyber Risk Exclusion
VIRGIN ATLANTIC,CHUBB,Singapore,SGD,86074081.9,24999435.0,24391130.3,61074646.9,2024-08-19,2025-08-19,included,
AMERICAN AIRLINES,BERKSHIRE HATHAWAY,USA,USD,78082761.0,58905618.4,57351869.3,19177142.6,2024-11-08,2025-11-08,included,
EMIRATES AIRLINES,GENERALI,Italy,EUR,72194272.9,18268026.3,17578001.3,53926246.5,2024-01-02,2026-01-01,excluded,Terrorism Exclusion
KOREAN AIR,SCOR,France,EUR,37829837.9,2770331.8,2679521.9,35059506.1,2024-05-18,2025-05-18,included,
ALASKA AIRLINES,BERKSHIRE HATHAWAY,USA,USD,79375647.2,64294769.6,61389284.3,15080877.5,2024-10-15,2025-10-15,included,
AIR CHINA,AXA,Germany,EUR,41202268.5,30739799.3,29674134.9,10462469.2,2024-01-17,2026-01-16,included,
UNITED AIRLINES,ZURICH,Germany,EUR,91099821.0,1033347.8,1003154.5,90066473.2,2024-07-04,2026-07-04,included,
ETIHAD AIRWAYS,GENERALI,Germany,EUR,45882584.2,33810229.5,32343081.0,12072354.6,2024-07-13,2026-07-13,included,
FRONTIER AIRLINES,MUNICH RE,Germany,EUR,20434505.7,28614.6,27500.2,20405891.1,2024-02-07,2025-02-06,included,
MALAYSIA AIRLINES,GENERALI,Germany,EUR,29369679.9,8520824.8,8392521.7,20848855.1,2024-12-12,2025-12-12,included,
AIR CHINA,GENERALI,Austria,EUR,95763146.3,38502543.7,37105664.3,57260602.6,2024-11-20,2025-11-20,included,
THAI AIRWAYS,SWISS RE,Switzerland,CHF,42616159.3,37716939.3,35853747.0,4899220.1,2024-01-06,2025-01-05,excluded,Nuclear Risk Exclusion
JAPAN AIRLINES,GENERALI,Austria,EUR,52673929.2,21854527.7,21388037.9,30819401.5,2024-04-06,2025-04-06,included,
ALASKA AIRLINES,AXA,UK,GBP,48097455.4,2353431.6,2297357.4,45744023.8,2024-05-14,2026-05-14,included,
DELTA AIR LINES,ZURICH,Switzerland,CHF,24418506.2,3537844.6,3429430.7,20880661.6,2024-10-07,2026-10-07,included,
SPIRIT AIRLINES,SCOR,USA,USD,25081346.4,3484813.3,3315921.4,21596533.1,2024-08-31,2025-08-31,included,
CATHAY PACIFIC,CHUBB,Switzerland,CHF,31213532.8,19849819.7,19103640.0,11363713.1,2024-09-29,2025-09-29,included,
ANA (ALL NIPPON AIRWAYS),CHUBB,UK,GBP,93029710.2,4216009.9,4098397.3,88813700.3,2024-07-16,2026-07-16,included,
LUFTHANSA GROUP,BERKSHIRE HATHAWAY,Germany,EUR,36615666.3,9477827.2,9134121.9,27137839.1,2024-10-16,2026-10-16,included,
RYANAIR,GENERALI,Italy,EUR,12888063.5,5266704.7,5120296.9,7621358.8,2024-04-21,2026-04-21,excluded,Cyber Risk Exclusion
DELTA AIR LINES,HANNOVER RE,France,EUR,57670566.1,23086686.8,22616414.6,34583879.3,2024-11-11,2025-11-11,included,
CHINA SOUTHERN,HANNOVER RE,UK,GBP,15929831.4,5724368.5,5660832.1,10205462.8,2024-11-06,2025-11-06,included,
SAUDI ARABIAN AIRLINES,ALLIANZ,Austria,EUR,71669025.1,33369313.5,32550359.1,38299711.6,2024-04-05,2026-04-05,included,
ALASKA AIRLINES,BERKSHIRE HATHAWAY,UK,GBP,13079678.1,751730.1,725252.7,12327948.0,2024-01-04,2026-01-03,included,
THAI AIRWAYS,GENERALI,France,EUR,13634372.7,11547130.5,11331396.5,2087242.2,2024-10-21,2026-10-21,included,
AIR CANADA,BERKSHIRE HATHAWAY,Switzerland,CHF,18030344.2,1053013.7,1003115.8,16977330.5,2024-09-01,2025-09-01,included,
TURKISH AIRLINES,MUNICH RE,Singapore,SGD,57001396.1,34753115.3,33929464.4,22248280.8,2024-03-02,2025-03-02,included,
SOUTHWEST AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,23998636.4,13497766.1,13131881.1,10500870.3,2024-08-15,2026-08-15,excluded,Pandemic Exclusion
EASYJET,AXA,USA,USD,62064100.3,48635870.0,46848711.2,13428230.3,2024-11-30,2026-11-30,included,
AIR FRANCE-KLM,CHUBB,USA,USD,95765747.1,66093548.5,63894557.2,29672198.6,2024-08-22,2026-08-22,included,
ALASKA AIRLINES,SWISS RE,UK,GBP,28093455.5,18504884.3,18056245.5,9588571.3,2024-06-04,2025-06-04,excluded,Terrorism Exclusion
EASYJET,MUNICH RE,USA,USD,10875863.5,5164207.6,4927842.3,5711655.9,2024-03-16,2025-03-16,excluded,Cyber Risk Exclusion
SINGAPORE AIRLINES,ALLIANZ,Germany,EUR,44969966.3,37953507.5,36927628.6,7016458.9,2024-03-25,2026-03-25,included,
FRONTIER AIRLINES,GENERALI,France,EUR,30459758.6,11549324.6,11100540.3,18910434.0,2024-10-03,2025-10-03,excluded,War Risk Exclusion
ALASKA AIRLINES,ALLIANZ,USA,USD,65443996.3,32770920.5,32350655.0,32673075.9,2024-12-31,2026-12-31,excluded,War Risk Exclusion
CATHAY PACIFIC,BERKSHIRE HATHAWAY,Germany,EUR,91783939.0,13674269.7,13404626.9,78109669.3,2024-06-04,2025-06-04,included,
RYANAIR,CHUBB,UK,GBP,56193835.6,39373766.5,37545488.3,16820069.0,2024-11-02,2026-11-02,included,
THAI AIRWAYS,GENERALI,Italy,EUR,39520457.0,21956879.0,21538320.9,17563578.0,2024-02-23,2026-02-22,included,
THAI AIRWAYS,HANNOVER RE,USA,USD,21731106.3,8814546.0,8641381.5,12916560.3,2024-03-05,2026-03-05,included,
JAPAN AIRLINES,HANNOVER RE,USA,USD,77306089.6,62703994.4,59769809.8,14602095.2,2024-07-23,2026-07-23,included,
MALAYSIA AIRLINES,SWISS RE,UK,GBP,69933663.8,48719021.5,47437141.2,21214642.3,2024-03-29,2025-03-29,included,
SOUTHWEST AIRLINES,CHUBB,Singapore,SGD,26009254.4,22309129.1,21764390.6,3700125.3,2024-08-12,2026-08-12,included,
SAUDI ARABIAN AIRLINES,GENERALI,Germany,EUR,93421917.5,67345913.8,65502079.6,26076003.6,2024-10-28,2025-10-28,included,
CATHAY PACIFIC,SWISS RE,Germany,EUR,18648882.4,2550823.8,2492859.6,16098058.5,2024-07-09,2026-07-09,included,
AMERICAN AIRLINES,ZURICH,USA,USD,19733442.8,16650406.9,16081813.5,3083035.9,2024-07-30,2025-07-30,included,
LUFTHANSA GROUP,ZURICH,UK,GBP,26768758.3,13245655.3,12707748.6,13523103.1,2024-05-06,2025-05-06,included,
TURKISH AIRLINES,HANNOVER RE,France,EUR,13553745.4,3725283.5,3573563.5,9828461.9,2024-09-28,2026-09-28,excluded,Nuclear Risk Exclusion
THAI AIRWAYS,ALLIANZ,Switzerland,CHF,21224816.4,13637676.6,13085921.8,7587139.8,2024-10-07,2026-10-07,included,
SOUTHWEST AIRLINES,BERKSHIRE HATHAWAY,USA,USD,64076192.8,4906396.0,4852425.6,59169796.8,2024-08-24,2026-08-24,included,
THAI AIRWAYS,BERKSHIRE HATHAWAY,UK,GBP,19327043.6,7903886.4,7564664.4,11423157.1,2024-04-05,2025-04-05,included,
SOUTHWEST AIRLINES,ZURICH,Germany,EUR,25233617.1,16669899.7,15901532.9,8563717.4,2024-05-04,2025-05-04,included,
UNITED AIRLINES,GENERALI,Italy,EUR,94723482.5,35696878.4,35315181.4,59026604.1,2024-07-26,2026-07-26,included,
SPIRIT AIRLINES,SWISS RE,UK,GBP,43857477.7,13512804.9,12956658.3,30344672.7,2024-09-15,2026-09-15,included,
CATHAY PACIFIC,GENERALI,Austria,EUR,84909301.6,3000378.0,2928856.5,81908923.6,2024-02-03,2025-02-02,included,
QATAR AIRWAYS,HANNOVER RE,USA,USD,73735912.4,23711906.8,22979537.8,50024005.6,2024-03-03,2026-03-03,included,
AIR CANADA,GENERALI,France,EUR,32491165.3,13280010.4,13018034.3,19211154.9,2024-02-20,2026-02-19,included,
TURKISH AIRLINES,ZURICH,UK,GBP,56141869.1,26958515.2,26248559.0,29183353.9,2024-09-02,2025-09-02,included,
THAI AIRWAYS,MUNICH RE,USA,USD,59286568.5,28507057.6,27468491.3,30779510.9,2024-11-27,2026-11-27,included,
UNITED AIRLINES,HANNOVER RE,USA,USD,79990425.0,6010315.2,5831897.1,73980109.8,2024-12-07,2026-12-07,included,
DELTA AIR LINES,SCOR,USA,USD,48821618.2,43670517.3,43143237.8,5151100.9,2024-06-02,2026-06-02,excluded,Pandemic Exclusion
SOUTHWEST AIRLINES,SWISS RE,Switzerland,CHF,38989458.9,244631.1,238037.6,38744827.8,2024-02-20,2025-02-19,included,
ALASKA AIRLINES,SWISS RE,USA,USD,85675114.5,20822590.4,20505141.4,64852524.0,2024-05-12,2025-05-12,included,
VIRGIN ATLANTIC,ZURICH,Germany,EUR,21883909.0,16651596.9,16235345.7,5232312.1,2024-07-31,2026-07-31,included,
ALASKA AIRLINES,GENERALI,Italy,EUR,42900810.2,27601463.2,26292446.0,15299346.9,2024-11-09,2025-11-09,included,
DELTA AIR LINES,SWISS RE,Germany,EUR,76586093.0,16856755.6,16089401.1,59729337.4,2024-02-25,2026-02-24,included,
AIR FRANCE-KLM,SWISS RE,USA,USD,50374982.6,25853098.4,24693435.9,24521884.2,2024-07-07,2026-07-07,included,
BRITISH AIRWAYS,CHUBB,Singapore,SGD,16649642.4,8842243.3,8430178.9,7807399.1,2024-01-05,2026-01-04,excluded,Nuclear Risk Exclusion
VIRGIN ATLANTIC,ZURICH,Germany,EUR,80782650.1,42083806.8,40416984.1,38698843.3,2024-06-25,2025-06-25,included,
AIR CHINA,ZURICH,Switzerland,CHF,53813224.6,23297413.6,23063399.5,30515811.0,2024-01-13,2025-01-12,included,
AMERICAN AIRLINES,AXA,France,EUR,84137496.0,19007283.4,18756657.4,65130212.5,2024-06-30,2025-06-30,excluded,Terrorism Exclusion
KOREAN AIR,HANNOVER RE,UK,GBP,14677312.8,7005244.8,6798106.9,7672068.1,2024-10-26,2026-10-26,excluded,Terrorism Exclusion
LUFTHANSA GROUP,BERKSHIRE HATHAWAY,UK,GBP,49910843.6,36956813.9,36182225.8,12954029.8,2024-07-14,2025-07-14,included,
CATHAY PACIFIC,CHUBB,UK,GBP,74188490.1,18747168.4,18299457.9,55441321.7,2024-12-16,2026-12-16,included,
SPIRIT AIRLINES,CHUBB,UK,GBP,22081304.9,9720035.2,9559096.5,12361269.7,2024-08-05,2025-08-05,included,
QATAR AIRWAYS,SWISS RE,Germany,EUR,37816052.9,24799454.2,23573434.3,13016598.7,2024-06-04,2026-06-04,included,
MALAYSIA AIRLINES,GENERALI,Germany,EUR,80065616.3,68401437.1,66946788.9,11664179.1,2024-03-15,2025-03-15,included,
TURKISH AIRLINES,MUNICH RE,Singapore,SGD,85952932.4,60490173.9,58975708.4,25462758.4,2024-02-15,2026-02-14,included,
RYANAIR,HANNOVER RE,USA,USD,98140203.2,32746646.4,31524599.7,65393556.8,2024-10-04,2026-10-04,excluded,Terrorism Exclusion
DELTA AIR LINES,BERKSHIRE HATHAWAY,USA,USD,90598237.3,50253678.9,48979483.9,40344558.5,2024-03-20,2025-03-20,included,
AIR CHINA,HANNOVER RE,France,EUR,42228639.5,26790091.6,26390901.6,15438547.9,2024-07-03,2026-07-03,included,
KOREAN AIR,MUNICH RE,Germany,EUR,40231248.6,20413204.9,19810048.1,19818043.7,2024-08-03,2026-08-03,excluded,Cyber Risk Exclusion
CHINA EASTERN,SCOR,France,EUR,98904049.6,44395590.4,42458433.9,54508459.2,2024-08-26,2025-08-26,included,
KOREAN AIR,ALLIANZ,USA,USD,64391105.7,22446864.4,21455510.6,41944241.3,2024-09-01,2025-09-01,included,
SOUTHWEST AIRLINES,ZURICH,Switzerland,CHF,44781779.7,13180173.2,12754414.7,31601606.5,2024-07-23,2025-07-23,included,
EASYJET,HANNOVER RE,Germany,EUR,36484371.9,11764583.8,11558962.2,24719788.1,2024-01-15,2026-01-14,excluded,Terrorism Exclusion
SOUTHWEST AIRLINES,SCOR,UK,GBP,65786250.5,51858127.1,51320923.3,13928123.3,2024-11-24,2026-11-24,included,
JAPAN AIRLINES,ALLIANZ,Switzerland,CHF,30931291.9,5714634.2,5462401.0,25216657.7,2024-12-16,2025-12-16,excluded,Pandemic Exclusion
CHINA EASTERN,ZURICH,UK,GBP,39747579.6,35610045.9,34442468.0,4137533.8,2024-06-25,2025-06-25,included,
AIR CHINA,SCOR,USA,USD,62437828.9,38286865.4,36997576.9,24150963.5,2024-04-22,2025-04-22,included,
VIRGIN ATLANTIC,MUNICH RE,Singapore,SGD,50252182.4,7443664.5,7156823.8,42808517.9,2024-06-17,2026-06-17,included,
BRITISH AIRWAYS,SWISS RE,UK,GBP,32383573.5,19354691.3,18642054.7,13028882.2,2024-10-23,2025-10-23,excluded,Cyber Risk Exclusion
